sbscrbr,Plan_Type,data_consumed,load_date
8984183809,PLN-500,628517,9/20/2018
8448820744,PLN-100,612943,9/20/2018
7231645076,PLN-50,430955,9/20/2018
3912929272,PLN-2K,193266,9/20/2018
9096580621,PLN-100,620270,9/20/2018
1416406023,PLN-500,926364,9/20/2018
6581283426,PLN-500,844958,9/20/2018
4826415132,PLN-2K,907779,9/20/2018
6188898897,PLN-100,270050,9/20/2018
9717478738,PLN-500,379065,9/20/2018
5625187837,PLN-50,242717,9/20/2018
5432743546,PLN-500,486982,9/20/2018
6454455147,PLN-2K,985641,9/20/2018
1558205599,PLN-2K,846009,9/20/2018
8301077049,PLN-50,658477,9/20/2018
1966892732,PLN-2K,893202,9/20/2018
3996448723,PLN-100,390515,9/20/2018
2995186931,PLN-500,673113,9/20/2018
8056001779,PLN-500,455690,9/20/2018
3819572498,PLN-2K,226388,9/20/2018
5242707036,PLN-100,536083,9/20/2018
5034508847,PLN-500,109301,9/20/2018
4557788758,PLN-50,752203,9/20/2018
1064647844,PLN-500,254593,9/20/2018
8013507831,PLN-2K,406335,9/20/2018
7226428738,PLN-2K,399392,9/20/2018
1597163259,PLN-50,772907,9/20/2018
4345609670,PLN-2K,242572,9/20/2018
6989783465,PLN-100,250901,9/20/2018
3654410773,PLN-500,675006,9/20/2018
7871279927,PLN-500,307169,9/20/2018
8847580622,PLN-2K,222590,9/20/2018
1594446082,PLN-100,507880,9/20/2018
5092419068,PLN-500,757585,9/20/2018
7504048694,PLN-50,760249,9/20/2018
8507773947,PLN-500,289586,9/20/2018
4748393025,PLN-2K,326964,9/20/2018
2456066143,PLN-2K,214728,9/20/2018
9368736516,PLN-50,656388,9/20/2018
9745491526,PLN-2K,119021,9/20/2018
3251512455,PLN-100,140498,9/20/2018
3334278462,PLN-500,969267,9/20/2018
3064227998,PLN-500,616702,9/20/2018
3958130073,PLN-2K,421584,9/20/2018
8767131274,PLN-100,738591,9/20/2018
9402216548,PLN-500,969376,9/20/2018
2189432489,PLN-50,407992,9/20/2018
9335999382,PLN-500,676287,9/20/2018
3626464491,PLN-2K,644556,9/20/2018
7993099377,PLN-2K,220603,9/20/2018
4192113367,PLN-50,513547,9/20/2018
3622431060,PLN-2K,855892,9/20/2018
7897179223,PLN-100,836912,9/20/2018
1524393998,PLN-500,924567,9/20/2018
4725573038,PLN-500,872377,9/20/2018
5512414015,PLN-2K,656995,9/20/2018
5009441539,PLN-100,249804,9/20/2018
3491279968,PLN-500,628034,9/20/2018
2839670088,PLN-50,748216,9/20/2018
7873394907,PLN-500,271190,9/20/2018
5732715268,PLN-2K,154229,9/20/2018
6672758308,PLN-2K,903994,9/20/2018
6847542496,PLN-50,958452,9/20/2018
2894593727,PLN-2K,167758,9/20/2018
7629604316,PLN-100,155934,9/20/2018
6297212659,PLN-500,416997,9/20/2018
1978083745,PLN-500,648423,9/20/2018
5254884706,PLN-2K,458191,9/20/2018
7822325845,PLN-100,511302,9/20/2018
9946764088,PLN-500,648564,9/20/2018
3219093870,PLN-50,483626,9/20/2018
5223018505,PLN-500,932284,9/20/2018
2042112668,PLN-2K,579296,9/20/2018
4092921252,PLN-2K,194150,9/20/2018
4761720234,PLN-50,349921,9/20/2018
6595243752,PLN-2K,350957,9/20/2018
3748770415,PLN-100,197884,9/20/2018
2055845117,PLN-500,221571,9/20/2018
1238903114,PLN-500,241053,9/20/2018
4781124958,PLN-2K,479034,9/20/2018
7646518185,PLN-100,732544,9/20/2018
3103329651,PLN-500,421545,9/20/2018
3609298220,PLN-50,525122,9/20/2018
4664861936,PLN-500,217850,9/20/2018
9056785444,PLN-2K,376464,9/20/2018
8523333015,PLN-2K,402991,9/20/2018
6906575365,PLN-50,577617,9/20/2018
8575501630,PLN-2K,998259,9/20/2018
9711510733,PLN-100,414880,9/20/2018
5741563586,PLN-500,501892,9/20/2018
3931471148,PLN-500,749079,9/20/2018
6857849582,PLN-2K,956422,9/20/2018
5121765654,PLN-100,579585,9/20/2018
5607296981,PLN-500,295440,9/20/2018
7618598133,PLN-50,155260,9/20/2018
7212084191,PLN-500,241413,9/20/2018
5093615854,PLN-2K,448020,9/20/2018
3496329273,PLN-2K,702210,9/20/2018
8267988821,PLN-100,828192,9/20/2018
5715734777,PLN-500,728541,9/20/2018
6388721811,PLN-100,464817,9/20/2018
5156125637,PLN-50,993843,9/20/2018
5602888902,PLN-2K,996848,9/20/2018
2986283801,PLN-100,732219,9/20/2018
2199140682,PLN-500,992927,9/20/2018
4412896678,PLN-500,963143,9/20/2018
3005571130,PLN-2K,620131,9/20/2018
7053507006,PLN-100,285919,9/20/2018
1732454824,PLN-500,662685,9/20/2018
6436072347,PLN-50,418245,9/20/2018
3289803541,PLN-500,168801,9/20/2018
4182984575,PLN-2K,919501,9/20/2018
9195835434,PLN-2K,276274,9/20/2018
7749233895,PLN-50,657450,9/20/2018
6362734544,PLN-2K,742756,9/20/2018
8483947225,PLN-100,346150,9/20/2018
2066877388,PLN-500,275588,9/20/2018
4642383071,PLN-500,603952,9/20/2018
2308739440,PLN-2K,124553,9/20/2018
2024579517,PLN-100,507654,9/20/2018
8143187195,PLN-500,665633,9/20/2018
2473292591,PLN-50,600135,9/20/2018
1549361348,PLN-500,219884,9/20/2018
2704853972,PLN-2K,906338,9/20/2018
5817725294,PLN-2K,636291,9/20/2018
1791213980,PLN-50,213293,9/20/2018
3074800473,PLN-2K,842504,9/20/2018
1986498129,PLN-100,661819,9/20/2018
2288523354,PLN-500,808927,9/20/2018
2936982989,PLN-500,617966,9/20/2018
2092672995,PLN-2K,635994,9/20/2018
5907472554,PLN-100,425295,9/20/2018
9766178765,PLN-500,154522,9/20/2018
5302194416,PLN-50,407561,9/20/2018
9402733567,PLN-500,635839,9/20/2018
6048098096,PLN-2K,726961,9/20/2018
1468225736,PLN-2K,421617,9/20/2018
9389635534,PLN-50,907135,9/20/2018
6288976872,PLN-2K,942015,9/20/2018
6594009237,PLN-100,663969,9/20/2018
8725928890,PLN-500,808155,9/20/2018
6972967007,PLN-500,457146,9/20/2018
9221966029,PLN-2K,601844,9/20/2018
3429382805,PLN-100,914195,9/20/2018
3314479075,PLN-500,672162,9/20/2018
7844155205,PLN-50,886286,9/20/2018
6433129271,PLN-500,850054,9/20/2018
6521574108,PLN-2K,129719,9/20/2018
8636522622,PLN-2K,651166,9/20/2018
2889695868,PLN-50,730429,9/20/2018
7406914151,PLN-2K,946035,9/20/2018
7269657591,PLN-100,595087,9/20/2018
1682303531,PLN-500,262291,9/20/2018
1994698128,PLN-500,365470,9/20/2018
5028321473,PLN-2K,404043,9/20/2018
2599732255,PLN-100,296813,9/20/2018
1639292263,PLN-500,162871,9/20/2018
9484370250,PLN-50,770150,9/20/2018
2102854566,PLN-500,500259,9/20/2018
9932724499,PLN-2K,186183,9/20/2018
8205704840,PLN-2K,498342,9/20/2018
3514087743,PLN-50,940908,9/20/2018
6521326024,PLN-2K,356118,9/20/2018
5898989537,PLN-100,502974,9/20/2018
3035430636,PLN-500,678893,9/20/2018
5576916846,PLN-500,805580,9/20/2018
6329379901,PLN-2K,508434,9/20/2018
1819463352,PLN-100,446711,9/20/2018
4046579391,PLN-500,523607,9/20/2018
7965424737,PLN-50,595179,9/20/2018
5565430985,PLN-500,935270,9/20/2018
1665654309,PLN-2K,227128,9/20/2018
5338294907,PLN-2K,282400,9/20/2018
2567576443,PLN-50,873641,9/20/2018
1581733124,PLN-2K,948331,9/20/2018
6862230002,PLN-100,439900,9/20/2018
2753977097,PLN-500,139743,9/20/2018
9126293394,PLN-500,586614,9/20/2018
8329006166,PLN-2K,943658,9/20/2018
5907212083,PLN-100,611425,9/20/2018
8711639690,PLN-500,114517,9/20/2018
6802297835,PLN-50,848044,9/20/2018
4239556544,PLN-500,247779,9/20/2018
8154539790,PLN-2K,500975,9/20/2018
5701351611,PLN-2K,931227,9/20/2018
7611414861,PLN-50,566263,9/20/2018
5344419122,PLN-2K,838124,9/20/2018
1009249344,PLN-100,493635,9/20/2018
2893042736,PLN-500,244541,9/20/2018
2248067649,PLN-500,613905,9/20/2018
9629831570,PLN-2K,122470,9/20/2018
5478546984,PLN-100,129249,9/20/2018
5702188526,PLN-500,824916,9/20/2018
8627597229,PLN-50,466674,9/20/2018
4308461721,PLN-500,420511,9/20/2018
4594833832,PLN-2K,521574,9/20/2018
5968183775,PLN-2K,253240,9/20/2018
8117764607,PLN-100,992613,9/20/2018
5781909455,PLN-500,676687,9/20/2018
8662181319,PLN-100,500368,9/20/2018
1051125036,PLN-50,800007,9/20/2018
6586636222,PLN-2K,947944,9/20/2018
4842015640,PLN-100,845367,9/20/2018
8673799338,PLN-500,456975,9/20/2018
3986240876,PLN-500,447799,9/20/2018
8765519122,PLN-2K,393545,9/20/2018
5981410385,PLN-100,386964,9/20/2018
5113948188,PLN-500,907828,9/20/2018
2721821789,PLN-50,757946,9/20/2018
7839973003,PLN-500,539210,9/20/2018
4362587329,PLN-2K,836947,9/20/2018
5984913510,PLN-2K,609520,9/20/2018
6242176255,PLN-50,714772,9/20/2018
8651922540,PLN-2K,329083,9/20/2018
8978162311,PLN-100,495837,9/20/2018
8753027828,PLN-500,985517,9/20/2018
2335692914,PLN-500,294041,9/20/2018
7086461533,PLN-2K,295202,9/20/2018
1114398583,PLN-100,334458,9/20/2018
7146727061,PLN-500,399950,9/20/2018
6961085497,PLN-50,173024,9/20/2018
4964553900,PLN-500,445416,9/20/2018
6178193255,PLN-2K,332369,9/20/2018
1707475053,PLN-2K,575701,9/20/2018
3042970618,PLN-50,477937,9/20/2018
7038303787,PLN-2K,510139,9/20/2018
2128152763,PLN-100,460451,9/20/2018
4631826594,PLN-500,162242,9/20/2018
1155918693,PLN-500,457187,9/20/2018
5873743591,PLN-2K,630200,9/20/2018
2006396085,PLN-100,971864,9/20/2018
1721465184,PLN-500,800402,9/20/2018
3354621516,PLN-50,642555,9/20/2018
5537093904,PLN-500,436689,9/20/2018
6471139357,PLN-2K,350609,9/20/2018
7779802401,PLN-2K,598603,9/20/2018
5715932417,PLN-50,992335,9/20/2018
5405096882,PLN-2K,977758,9/20/2018
6104370843,PLN-100,769245,9/20/2018
5432301313,PLN-500,725529,9/20/2018
2728621627,PLN-500,353750,9/20/2018
2554109230,PLN-2K,743591,9/20/2018
5772499117,PLN-100,798788,9/20/2018
7118755484,PLN-500,220290,9/20/2018
3939575940,PLN-50,512271,9/20/2018
6101500067,PLN-500,313542,9/20/2018
3837582728,PLN-2K,530506,9/20/2018
6576632015,PLN-2K,204646,9/20/2018
9949688587,PLN-50,324840,9/20/2018
1508989273,PLN-2K,718677,9/20/2018
1349541686,PLN-100,985943,9/20/2018
2018579922,PLN-500,805914,9/20/2018
8007860379,PLN-500,993133,9/20/2018
4555986897,PLN-2K,943648,9/20/2018
3993692412,PLN-100,878872,9/20/2018
1934020804,PLN-500,961653,9/20/2018
8644107523,PLN-50,701564,9/20/2018
5611436861,PLN-500,940962,9/20/2018
4008618105,PLN-2K,865630,9/20/2018
3239123425,PLN-2K,250847,9/20/2018
5337577270,PLN-50,130383,9/20/2018
8599476260,PLN-2K,407243,9/20/2018
6031586580,PLN-100,681108,9/20/2018
4275598609,PLN-500,173489,9/20/2018
7777646852,PLN-500,515519,9/20/2018
6571148313,PLN-2K,370205,9/20/2018
5254083319,PLN-100,904924,9/20/2018
4439943686,PLN-500,953133,9/20/2018
7228168306,PLN-50,538112,9/20/2018
7796799880,PLN-500,449737,9/20/2018
5548901755,PLN-2K,718324,9/20/2018
8128124432,PLN-2K,903679,9/20/2018
7492255064,PLN-50,108845,9/20/2018
5186251036,PLN-2K,278411,9/20/2018
2642946516,PLN-100,934217,9/20/2018
2054104678,PLN-500,438381,9/20/2018
8467961532,PLN-500,847974,9/20/2018
8081203947,PLN-2K,634489,9/20/2018
4688697501,PLN-100,682442,9/20/2018
3871570151,PLN-500,325455,9/20/2018
7874437075,PLN-50,221914,9/20/2018
3812005315,PLN-500,285752,9/20/2018
7971209676,PLN-2K,576440,9/20/2018
9031149747,PLN-2K,257325,9/20/2018
1989862850,PLN-50,132582,9/20/2018
1597339298,PLN-2K,327313,9/20/2018
2347798298,PLN-100,803280,9/20/2018
8111565344,PLN-500,345049,9/20/2018
5531456195,PLN-500,991196,9/20/2018
3823237822,PLN-2K,930804,9/20/2018
5137587038,PLN-100,881391,9/20/2018
6702190755,PLN-500,107118,9/20/2018
9379416460,PLN-50,841532,9/20/2018
2628828987,PLN-500,351381,9/20/2018
2207887410,PLN-2K,226981,9/20/2018
8628830510,PLN-2K,558355,9/20/2018
8139327840,PLN-100,296168,9/20/2018
6741748355,PLN-500,174765,9/20/2018
5528229968,PLN-100,209349,9/20/2018
5245748998,PLN-50,977581,9/20/2018
9505125624,PLN-2K,113165,9/20/2018
7865544557,PLN-100,146248,9/20/2018
3052338695,PLN-500,661181,9/20/2018
8112755051,PLN-500,954975,9/20/2018
1123297125,PLN-2K,126137,9/20/2018
2048353928,PLN-100,256420,9/20/2018
1232963885,PLN-500,437860,9/20/2018
8236765289,PLN-50,109713,9/20/2018
2877695770,PLN-500,835583,9/20/2018
8967575093,PLN-2K,511209,9/20/2018
9873276137,PLN-2K,838359,9/20/2018
4993738169,PLN-50,920361,9/20/2018
2348154486,PLN-2K,258153,9/20/2018
3574701509,PLN-100,963407,9/20/2018
4478376348,PLN-500,916505,9/20/2018
2781206461,PLN-500,664393,9/20/2018
9312848439,PLN-2K,156506,9/20/2018
7789338963,PLN-100,114594,9/20/2018
5973124654,PLN-500,205865,9/20/2018
5829283864,PLN-50,423520,9/20/2018
4419928368,PLN-500,484899,9/20/2018
2793232131,PLN-2K,788628,9/20/2018
5933017373,PLN-2K,615318,9/20/2018
7215239021,PLN-50,615181,9/20/2018
3002297290,PLN-2K,336019,9/20/2018
8625737990,PLN-100,507396,9/20/2018
2877103236,PLN-500,784992,9/20/2018
4096383243,PLN-500,606081,9/20/2018
1756955891,PLN-2K,460195,9/20/2018
5043194610,PLN-100,666348,9/20/2018
3131897804,PLN-500,120652,9/20/2018
7202414755,PLN-50,479441,9/20/2018
7584233517,PLN-500,123443,9/20/2018
3049691700,PLN-2K,556938,9/20/2018
5022381119,PLN-2K,197246,9/20/2018
1732845500,PLN-50,987361,9/20/2018
8101183309,PLN-2K,732037,9/20/2018
9049966109,PLN-100,941823,9/20/2018
9285421447,PLN-500,797292,9/20/2018
9058159395,PLN-500,322755,9/20/2018
6281940576,PLN-2K,911383,9/20/2018
5936246408,PLN-100,109318,9/20/2018
3811216447,PLN-500,876229,9/20/2018
8686917250,PLN-50,919952,9/20/2018
4611041941,PLN-500,871161,9/20/2018
5278880809,PLN-2K,409244,9/20/2018
9318343272,PLN-2K,302763,9/20/2018
8617702958,PLN-50,165655,9/20/2018
1443490909,PLN-2K,255418,9/20/2018
4293735036,PLN-100,997418,9/20/2018
7424027291,PLN-500,501382,9/20/2018
9988569451,PLN-500,803223,9/20/2018
8936112977,PLN-2K,726224,9/20/2018
1268201201,PLN-100,545021,9/20/2018
7364369171,PLN-500,593739,9/20/2018
1768566411,PLN-50,383721,9/20/2018
6841797564,PLN-500,714737,9/20/2018
4819983008,PLN-50,509386,9/20/2018
1643848762,PLN-2K,660366,9/20/2018
4506435280,PLN-100,192297,9/20/2018
1609928122,PLN-500,320551,9/20/2018
6539917258,PLN-500,191398,9/20/2018
3304104948,PLN-2K,421742,9/20/2018
5375549286,PLN-100,562572,9/20/2018
2617601056,PLN-500,286504,9/20/2018
1647962937,PLN-50,338192,9/20/2018
4842002562,PLN-500,582639,9/20/2018
5211560396,PLN-2K,139939,9/20/2018
1009684777,PLN-2K,209627,9/20/2018
6611295706,PLN-50,617704,9/20/2018
8894008743,PLN-2K,326932,9/20/2018
8946939167,PLN-100,972165,9/20/2018
5131439762,PLN-500,842682,9/20/2018
6287897180,PLN-500,833815,9/20/2018
7507766329,PLN-2K,248293,9/20/2018
9495402527,PLN-100,111982,9/20/2018
3709211383,PLN-500,460745,9/20/2018
3184828913,PLN-50,376318,9/20/2018
4703687839,PLN-500,726794,9/20/2018
1682740800,PLN-2K,814202,9/20/2018
4143933476,PLN-2K,648752,9/20/2018
2482009470,PLN-50,359289,9/20/2018
1435586695,PLN-2K,622850,9/20/2018
5085504834,PLN-100,710195,9/20/2018
8531781198,PLN-500,202257,9/20/2018
5467751739,PLN-500,664162,9/20/2018
5231859287,PLN-2K,138537,9/20/2018
8195094291,PLN-100,672548,9/20/2018
2388270504,PLN-500,919661,9/20/2018
5034361480,PLN-50,940109,9/20/2018
1466154600,PLN-500,741612,9/20/2018
2978742660,PLN-2K,112063,9/20/2018
6479472587,PLN-2K,292725,9/20/2018
3581499938,PLN-50,264875,9/20/2018
6679457813,PLN-2K,254134,9/20/2018
3817568953,PLN-100,777783,9/20/2018
3063528371,PLN-500,937355,9/20/2018
5287628197,PLN-500,485276,9/20/2018
5914224585,PLN-2K,739047,9/20/2018
4581100850,PLN-100,755779,9/20/2018
4692970711,PLN-500,262025,9/20/2018
6986663119,PLN-50,417490,9/20/2018
8484994603,PLN-500,635784,9/20/2018
